ID,Программа,Часов,Стоимость (RUB),ДатаНачала,ДатаКонца,Описание,Тип
35,Разговорный испанский язык с нуля,72,"18,500","2023-4-1, 00:00","2023-5-31, 00:00",<p>Форма обучения - очная</p>,
36,2023 Безопасность и этика применения решений с искусственным интеллектом в области медицины и физиологии,252,0,"2023-5-12, 00:00","2023-7-15, 00:00",<p>.</p>,Не задан
37,Интеллектуальный анализ больших данных,258,0,"2023-10-9, 00:00","2024-10-31, 00:00","<p><strong>Уважаемые слушатели, о начале программы будет объявлено дополнительно.</strong></p><p>&nbsp;</p><p>ДПП ПП ""Интеллектуальный анализ больших данных""</p><p>Программа освоения цифровых компетенций в области работы с Большими данными.</p><p>Программа рассчитана на 13 месяцев параллельно с освоением основной образовательной программы.</p><p>Обучение проходит в онлайн-формате.</p><h2><strong>Для кого подойдет этот курс</strong></h2><p>Если Вы освоили первый курс бакалавриата или два курса специалитета по ИТ-направлениям&nbsp;(ФКТИ), умеете программировать на Python, а также «дружите»&nbsp;с математикой,&nbsp;и хотите освоить профессию Аналитика данных (Data&nbsp;Science)&nbsp;применительно к Большим данным, то эта программа как раз для Вас!</p><p>Подать заявку на обучение могут студенты очной (очно-заочной) формы обучения СПбГЭТУ «ЛЭТИ», граждане РФ, РБ и РК.</p><h2><strong>Что Вы получите</strong></h2><p>Освоите методы машинного и глубокого обучения.</p><p>Узнаете про технологии анализа Больших данных.</p><p>Познакомитесь с технологией Федеративного обучения.</p><p>Научитесь применять инструменты глубокого обучения для Больших данных.</p><p>Овладеете навыками обучения моделей машинного и глубокого обучения на Больших данных c использование таких инструментов как scikit-learn, TensorFlow, PyTorch, Apach&nbsp;Spark и федеративное обучение.</p><h2><strong>Какую профессию вы освоите?</strong></h2><p>Аналитик больших данных.</p><h2><strong>Программа курса</strong></h2><p>Каждый модуль представляет собой полноценный онлайн-курс с комплектом образовательного контента и практики. Последовательное прохождение модулей обеспечит целостное освоение прикладных навыков и теоретических знаний.</p><h3>Машинное обучение</h3><p>Тема 1. Введение в машинное обучение</p><p>Тема 2. Алгоритмы кластеризации</p><p>Тема 3. Задача классификации</p><p>Тема 4. Предсказание и регрессия</p><h3>Обработка больших данных</h3><p>Тема 1 Большие данные и три поколения платформ Больших данных</p><p>Тема 2 Системы хранения данных</p><p>Тема 3 Параллельный и распределенный анализ.</p><p>Тема 4 Потоковая обработка данных</p><h3>Глубокое обучение</h3><p>Тема 1. Нейронные сети прямого распространения</p><p>Тема 2. Сверточные нейронные сети</p><p>Тема 3. Рекуррентные нейронные сети</p><p>Тема 4: Введение в обучение с подкреплением.</p><h3>Федеративное обучение</h3><p>Тема 1 Распределенные данные и проблемы их анализа</p><p>Тема 2 Технология федеративного обучение</p><p>Тема 3 Безопасность федеративного обучения</p><p>Тема 4 Алгоритмы федеративного обучения</p><p>Тема 5 Библиотеки федеративного обучения</p><p>&nbsp;</p>",Цифровая кафедра
38,Введение в Большие данные,258,0,"2023-10-9, 00:00","2024-10-31, 00:00","<p><strong>Уважаемые слушатели, о начале программы будет объявлено дополнительно.</strong></p><p>&nbsp;</p><h2><strong>Введение в Большие данные</strong></h2><p>Программа освоения цифровых компетенций в области работы с Большими данными.</p><p>Программа рассчитана на три семестра нагрузки параллельно с освоением основной образовательной программы.</p><p>Обучение проходит в онлайн-формате.</p><h2><strong>Для кого подойдет этот курс</strong></h2><p>Если Вы освоили первый курс бакалавриата или два курса специалитета по ИТ-направлениям&nbsp;(не ФКТИ), но незнакомы с разработкой программного обеспечения, но хотите и планируете работать с Большими данными в любой области, то эта программа как раз для Вас!</p><p>Подать заявку на обучение могут студенты очной (очно-заочной) формы обучения СПбГЭТУ «ЛЭТИ», граждане РФ, РБ и РК.</p><h2><strong>Что Вы получите</strong></h2><p>Знания в языке программирования Python.</p><p>Основы управления данными.</p><p>Узнаете про технологии анализа Больших данных.</p><p>Научитесь визуализировать и понимать большие данные.</p><p>Овладеете навыками обучения моделей машинного и глубокого обучения на Больших данных c использование таких инструментов как scikit-learn, TensorFlow, PyTorch, Apach&nbsp;Spark и федеративное обучение.</p><h2><strong>Какую профессию вы освоите?</strong></h2><p>Специалист больших данных.</p><h2><strong>Программа курса</strong></h2><p>Каждый модуль представляет собой полноценный онлайн-курс с комплектом образовательного контента и практики. Последовательное прохождение модулей обеспечит целостное освоение прикладных навыков и теоретических знаний.</p><h3>Программирование на языке Python</h3><p>Тема 1. Начало работы с Python</p><p>Тема 2. Основные управляющие конструкции языка Python&nbsp;</p><p>Тема 3. Базовые типы данных&nbsp;языка Python</p><p>Тема 4. Парадигмы программирования.</p><p>Тема 5. Введение в Объектно-Ориентированное программирование.</p><h3>Управление большими данными</h3><p>Тема 1. Введение в управление данными</p><p>Тема 2. Проектирование реляционных баз данных</p><p>Тема 3. Функции управления данными</p><p>Тема 4. Базы данных NoSQL</p><p>Тема 5. Управление доступом к базам данных</p><h3>Анализ больших данных</h3><p>Тема 1 Большие данные и три поколения платформ Больших данных</p><p>Тема 2 Системы хранения данных</p><p>Тема 3 Распределенный анализ. Концепция Map&nbsp;Reduce</p><p>Тема 4 Потоковая обработка данных</p><p>Тема 5 Федеративное обучение</p><h3>Визуализация данных</h3><p>Тема 1 Визуальный анализ данных</p><p>Тема 2 Основы визуализации данных</p><p>Тема 3. Визуализация многомерных данных</p><p>Тема 4 Визуализация временных рядов</p><p>Тема 5 Визуализация графов и деревьев</p><p>Тема 6 Сравнение и оценка эффективности методик визуализации</p><p>&nbsp;</p>",Цифровая кафедра
39,Машинное и глубокое обучение,258,0,"2023-10-9, 00:00","2024-10-31, 00:00","<h4><strong>Уважаемые слушатели, о начале программы будет объявлено дополнительно.</strong></h4><p>&nbsp;</p><h2><strong>Машинное и глубокое обучение</strong></h2><p>Программа освоения цифровых компетенций в области создания алгоритмов и компьютерных программ для практического применения в сфере машинного и глубокого обучения.</p><p>Программа расчитана на три семестра нагрузки параллельно с освоением основной образовательной программы.</p><p>Обучение проходит в онлайн-формате.</p><h2><strong>Для кого подойдет этот курс</strong></h2><p>Если Вы освоили первый курс бакалавриата или два курса специалитета по ИТ-направлениям, «дружите»&nbsp;с математикой,&nbsp;и хотите освоить профессию Аналитика данных (Data&nbsp;Science), то эта программа как раз для Вас!</p><p>Подать заявку на обучение могут студенты очной (очно-заочной) формы обучения СПбГЭТУ «ЛЭТИ», граждане РФ, РБ и РК.</p><h2><strong>Что Вы получите</strong></h2><p>Научитесь программировать на языке Python</p><p>Получите необходимые знания в области алгоритмов и структур данных</p><p>Освоите методы машинного и глубокого обучения.</p><p>Овладеете навыками обучения моделей машинного и глубокого обучения на Больших данных c использование таких инструментов как scikit-learn, TensorFlow, PyTorch.</p><h2><strong>Какую профессию вы освоите?</strong></h2><p>Специалист по машинному и глубокому обучению.</p><h2><strong>Программа курса</strong></h2><p>Каждый модуль представляет собой полноценный онлайн-курс с комплектом образовательного контента и практики. Последовательное прохождение модулей обеспечит целостное освоение прикладных навыков и теоретических знаний.</p><h3>Программирование на языке Python</h3><p>Тема 1. Начало работы с Python</p><p>Тема 2. Основные управляющие конструкции языка Python&nbsp;</p><p>Тема 3. Базовые типы данных&nbsp;языка Python</p><p>Тема 4. Парадигмы программирования.</p><p>Тема 5. Введение в Объектно-Ориентированное программирование.</p><p>Тема 6. Модули Python для анализа данных и машинного обучения</p><h3>Алгоритмы и структуры данных</h3><p>Тема 1. Понятие алгоритма и оценка алгоритмической сложности</p><p>Тема 2. Списочные структуры данных</p><p>Тема 3. Задачи сортировки</p><p>Тема 4. Ассоциативные массивы и хэштаблицы</p><p>Тема 5. Двоичные деревья</p><p>Тема 6. B-деревья</p><p>Тема 7. Графовые структуры</p><p>Тема 8. Поиск подстроки в строке</p><h3>Машинное обучение</h3><p>Тема 1. Введение в машинное обучение</p><p>Тема 2. Алгоритмы кластеризации</p><p>Тема 3. Задача классификации</p><p>Тема 4. Предсказание и регрессия</p><h3>Глубокое обучение</h3><p>Тема 1. Нейронные сети прямого распространения</p><p>Тема 2. Сверточные нейронные сети</p><p>Тема 3. Рекуррентные нейронные сети</p><p>Тема 4: Введение в обучение с подкреплением.</p><p>&nbsp;</p>",Цифровая кафедра
40,Разработчик на Python,258,0,"2023-10-9, 00:00","2024-10-31, 00:00","<h4><strong>Уважаемые слушатели, о начале программы будет объявлено дополнительно.</strong></h4><p>&nbsp;</p><h2><strong>Разработчик на Python</strong></h2><p>Программа освоения цифровых компетенций в области создания программного обеспечения на языке программирования Python.</p><p>Программа расcчитана на три семестра нагрузки параллельно с освоением основной образовательной программы.</p><p>Обучение проходит в онлайн-формате.</p><h2><strong>Для кого подойдет этот курс</strong></h2><p style=""text-align:justify;"">Если Вы освоили первый курс бакалавриата или два курса специалитета по <strong>не ИТ-направлениям</strong>, но хотите работать в IT&nbsp;области, то&nbsp;эта программа как раз для Вас! Для быстрого старта, Python идеальный язык программирования. Его проще изучить с нуля даже новичку в программировании, на нем легко писать, а написанный код хорошо читается. Python – современный язык программирования, он широко используется для машинного обучения, в Data Science, Web&nbsp;разработке и т.п.</p><p>Подать заявку на обучение могут студенты очной (очно-заочной) формы обучения СПбГЭТУ «ЛЭТИ», граждане РФ, РБ и РК.</p><h2><strong>Что Вы получите</strong></h2><p>Научитесь программировать на языке Python</p><p>Получите необходимые знания в области алгоритмов и структур данных</p><p>Освоите работу с базами данных.</p><p>Узнаете как организован процесс разработки в IT&nbsp;компаниях.</p><h2><strong>Какую профессию вы освоите?</strong></h2><p>Программист на Python.</p><h2><strong>Программа курса</strong></h2><p>Каждый модуль представляет собой полноценный онлайн-курс с комплектом образовательного контента и практики. Последовательное прохождение модулей обеспечит целостное освоение прикладных навыков и теоретических знаний.</p><h3>Программирование на языке Python</h3><p>Тема 1. Начало работы с Python</p><p>Тема 2. Основные управляющие конструкции языка Python</p><p>Тема 3. Базовые типы данных&nbsp;языка Python</p><p>Тема 4. Парадигмы программирования.</p><p>Тема 5. Введение в Объектно-Ориентированное программирование.</p><h3>Управление данными</h3><p>Тема 1. Введение в управление данными</p><p>Тема 2. Проектирование реляционных баз данных</p><p>Тема 3. Функции управления данными</p><h3>Алгоритмы и структуры данных</h3><p>Тема 1. Понятие алгоритма и оценка алгоритмической сложности</p><p>Тема 2. Списочные структуры данных</p><p>Тема 3. Задачи сортировки</p><p>Тема 4. Ассоциативные массивы и хэштаблицы</p><p>Тема 5. Двоичные деревья</p><p>Тема 6. B-деревья</p><p>Тема 7. Графовые структуры</p><p>Тема 8. Поиск подстроки в строке</p><h3>Организация процесса разработки программного обеспечения</h3><p>Тема 1. Система контроля версий GitHub.</p><p>Тема 2. Системы управления проектами</p><p>Тема 3. Системы управления тестированием</p><p>Тема 4. Баг-трекинговые системы на основе открытых стандартов</p>",Цифровая кафедра
41,Спортивное программирование,258,0,"2023-10-9, 00:00","2024-10-31, 00:00","<h4><strong>Уважаемые слушатели, о начале программы будет объявлено дополнительно.</strong></h4><p>&nbsp;</p><h2><strong>Спортивное программирование</strong></h2><p>Программа освоения цифровых компетенций в области спортивного программирования на языке Python.</p><p>Программа расчитана на три семестра нагрузки параллельно с освоением основной образовательной программы.</p><p>Обучение проходит в онлайн-формате.</p><h2><strong>Для кого подойдет этот курс</strong></h2><p style=""text-align:justify;"">Если Вы освоили первый курс бакалавриата или два курса специалитета по ИТ-направлениям и хотите освоить спортивное программирование, дающие возможности сложных алгоритмических задач, то&nbsp;эта программа как раз для Вас!&nbsp;</p><p>Подать заявку на обучение могут студенты очной (очно-заочной) формы обучения СПбГЭТУ «ЛЭТИ», граждане РФ, РБ и РК.</p><h2><strong>Что Вы получите</strong></h2><p>Научитесь программировать на языке Python</p><p>Получите необходимые знания в области алгоритмов и структур данных</p><p>Изучите основные подходы к методам спортивного программирования.</p><p>Получите возможность принять участие в соревнованиях по программированию.</p><h2><strong>Какую профессию вы освоите?</strong></h2><p>Программист.</p><h2><strong>Программа курса</strong></h2><p>Каждый модуль представляет собой полноценный онлайн-курс с комплектом образовательного контента и практики. Последовательное прохождение модулей обеспечит целостное освоение прикладных навыков и теоретических знаний.</p><h3>Олимпиадное программирование. Базовый уровень</h3><p>Тема 1. Начало работы с Python</p><p>Тема 2. Основные управляющие конструкции языка Python&nbsp;</p><p>Тема 3. Базовые типы данных&nbsp;языка Python</p><p>Тема 4. Парадигмы программирования.</p><p>Тема 5. Введение в Объектно-Ориентированное программирование.</p><h3>Дискретная математика</h3><p>Тема 1. Теория чисел</p><p>Тема 2. Комбинаторика</p><h3>Структуры данных</h3><p>Тема 1. Списочные и ассоциативные структуры данных</p><p>Тема 2. Двоичный поиск</p><p>Тема 3. Вопросы производительности</p><p>Тема 4. Деревья</p><p>Тема 5. Графовые структуры</p><p>Тема 6. STL-контейнеры</p><p>Тема 7. Деревья отрезков</p><p>Тема 8. Разреженные таблицы</p><h3>Алгоритмы</h3><p>Тема 1. Понятие алгоритма и оценка алгоритмической сложности</p><p>Тема 2. Алгоритмы сортировки</p><p>Тема 3. Поиск подстроки в строке</p><p>Тема 4. Жадные арлгоритмы</p><p>Тема 5. Динамическое программирование</p><p>Тема 6. Интегральные суммы</p><p>Тема &nbsp;7. Полиномиальные хеши</p><p>Тема 8. &nbsp;Основы теории игр</p>",Цифровая кафедра
42,Инженер по тестированию,258,0,"2023-10-9, 00:00","2024-10-31, 00:00","<h4><strong>Уважаемые слушатели, о начале программы будет объявлено дополнительно.</strong></h4><p style=""text-align:center;"">&nbsp;</p><h2 style=""text-align:center;"">ИНЖЕНЕР ПО ТЕСТИРОВАНИЮ</h2><p>Программа освоения цифровых компетенций в области тестирования программного обеспечения и организации процесса тестирования.</p><p>Программа рассчитана на <strong>два&nbsp;семестра</strong>&nbsp; нагрузки параллельно с освоением основной образовательной программы.</p><p>Обучение проходит в онлайн-формате.</p><p style=""text-align:justify;"">&nbsp;</p><h3 style=""text-align:center;"">Для кого подойдет этот курс</h3><p>Если Вы освоили первый курс бакалавриата или два курса специалитета по ИТ-направлениям, но не&nbsp;знакомы с тестированием и обеспечением качества программного обеспечения, то это программа для Вас!</p><p>После обучения по программе Вы сможете:</p><ul><li>Организовывать процесс тестирования, выбирать программные инструменты тестирования, соответствующие целям и задачам тестирования;</li><li>Проектировать и реализовывать тест-кейсы с использованием техник тест-дизайна;</li><li>Тестировать клиентскую часть web-приложений и сетевые протоколы;</li><li>Использовать специализированные инструменты для проведения автоматизированного тестирования;</li><li>Создавать сопроводительную документацию по результатам тестирования программного обеспечения</li></ul><p>&nbsp;</p><p>Подать заявку на обучение могут студенты очной (очно-заочной) формы обучения СПбГЭТУ «ЛЭТИ», граждане РФ, РБ и РК.</p><h3 style=""text-align:center;"">&nbsp;Какую профессию вы освоите?</h3><p>После обучения по программе переподготовки будет присвоена квалификация 06.00400.02 «Специалист по тестированию в области информационных технологий» 6 уровня квалификации. В соответствии со стандартом профессиональной подготовки (https://nok-nark.ru/pk/detail/06.00400.03) специалист будет обладать следующими трудовыми функциями:</p><p>C/01.6 Оценка требований исходной документации</p><p>C/02.6 Определение требований к тестам</p><p>C/03.6 Разработка тестовых документов, включая план тестирования</p><p>C/04.6 Оценка тестов</p><p>C/05.6 Подбор персонала совместно с руководителем подразделения и специалистом соответствующей службы</p><h3 style=""text-align:center;"">Программа курса</h3><p>Каждый модуль представляет собой полноценный онлайн-курс с комплектом образовательного контента и практики. Последовательное прохождение модулей обеспечит целостное освоение прикладных навыков и теоретических знаний:</p><p style=""text-align:justify;"">Модуль 1. Программирование на языке Python</p><p style=""text-align:justify;"">Модуль 2. Введение в тестирование ПО</p><p style=""text-align:justify;"">Модуль 3. Тестирование web-приложений</p><p>Модуль 4. Автоматизированное тестирование</p><p>&nbsp;</p>",Цифровая кафедра
43,Основы тестирования программного обеспечения ,258,0,"2023-10-9, 00:00","2024-10-31, 00:00","<h4><strong>Уважаемые слушатели, о начале программы будет объявлено дополнительно.</strong></h4><h2 style=""text-align:center;"">&nbsp;</h2><h2 style=""text-align:center;"">Основы тестирования программного обеспечения</h2><p style=""text-align:justify;"">Программа освоения цифровых компетенций в области в сфере тестирования программного обеспечения.&nbsp;</p><p>Программа рассчитана на <strong>два семестра</strong>&nbsp; нагрузки параллельно с освоением основной образовательной программы.</p><p>Обучение проходит в онлайн-формате.</p><h3 style=""text-align:center;"">Для кого подойдет этот курс</h3><p style=""text-align:justify;"">Программа составлена для студентов, которые освоили первый курс бакалавриата или два курса специалитета <strong>по НЕ ИТ-направлениям</strong> и планируют получить стабильно востребованную на рынке труда специальность в области тестирования и обеспечения качества программного обеспечения</p><p>После обучения по программе Вы сможете.</p><p>Проектировать и реализовывать тест-кейсы с использованием техник тест-дизайна;&nbsp;</p><p>Проводить выбор методов тестирования ПО&nbsp;в зависимости от поставленных задач;</p><p>Тестировать клиентскую часть web-приложений и сетевые протоколы;</p><p>Документировать процесс тестирования;</p><p>Использовать специализированные инструменты для проведения автоматизированного тестирования на основе принципов low-code.</p><p>Подать заявку на обучение могут студенты очной (очно-заочной) формы обучения СПбГЭТУ «ЛЭТИ», граждане РФ, РБ и РК.</p><h3 style=""text-align:center;"">Какую профессию вы освоите?</h3><p>После обучения по программе переподготовки будет присвоена квалификация 06.00400.02 «Специалист по тестированию в области информационных технологий» 5 уровня квалификации. В соответствии со стандартом профессиональной подготовки (https://nok-nark.ru/pk/detail/06.00400.02) специалист будет обладать следующими трудовыми функциями:</p><p>B/01.5 Определение и описание тестовых случаев, включая разработку автотестов</p><p>B/02.5 Проведение тестирования по разработанным тестовым случаям</p><p>B/03.5 Восстановление тестов после сбоев, повлекших за собой нарушение работы системы</p><p>B/04.5 Анализ результатов тестирования</p><p>B/05.5 Проверка исправленных дефектов в порядке их приоритета</p><p>B/06.5 Предоставление результатов тестирования руководителю группы (отдела) тестировщиков</p><p>B/07.5 Деятельность по обучению младших тестировщиков</p><p style=""text-align:justify;"">&nbsp;</p><h3 style=""text-align:center;"">Программа курса</h3><p>Каждый модуль представляет собой полноценный онлайн-курс с комплектом образовательного контента и практики. Последовательное прохождение модулей обеспечит целостное освоение прикладных навыков и теоретических знаний.</p><h3 style=""text-align:justify;"">Модуль 1. Программирование на языке Python</h3><p>Тема 1. Начало работы с Python</p><p>Тема 2. Основные управляющие конструкции языка Python&nbsp;</p><p>Тема 3. Базовые типы данных&nbsp;языка Python</p><p>Тема 4. Парадигмы программирования.</p><p>Тема 5. Введение в Объектно-Ориентированное программирование.</p><h3 style=""text-align:justify;"">Модуль 2. Введение в тестирование ПО</h3><p>Тема 1. История тестирования</p><p>Тема 2. Тестирование и качество разрабатываемого программного обеспечения.</p><p>Тема 3. Методологии разработки и тестирования ПО</p><p>Тема 3. Жизненный цикл тестирования</p><p>Тема 4. Виды и направления тестирования.</p><p>Тема 5.&nbsp; Тестовая документация (тестовый план; тест-кейсы, отчеты о дефектах).</p><p>Тема 6. Тестирование требований и документации.</p><p>Тема 7. Техники тест-дизайна.</p><h3 style=""text-align:justify;"">Модуль 3. Управление данными</h3><p>Тема 1. Введение в управление данными</p><p>Тема 2. Проектирование реляционных баз данных</p><p>Тема 3. Функции управления данными</p><p>Тема 4. Базы данных NoSQL</p><p>Тема 5. Управление доступом к базам данных</p><p>Тема 6. Защита баз данных</p><h3 style=""text-align:justify;"">Модуль 4. Тестирование web-приложений</h3><p>Тема 1. Структура web-приложений</p><p>Тема 2. Мануальное тестирование клиентской части web-приложений. (Тестирование ссылочной целостности, верстки страниц, интернационализации и локализации, совместимости, адаптивности, графического интерфейса).</p><p>Тема 3. Тестирование сетевых протоколов</p><p>(Протоколы передачи, тестирование сетевых протоколов средствами операционной системы на уровне TCP/IP, взаимосвязи на уровне протокола HTTP).</p><p>Тема&nbsp;4. Автоматизация тестирования клиентской части web-приложений. Реализация сценариев с помощью Selenium IDE.</p><p>Тема 5. Тестирование API.</p>",Цифровая кафедра
44,Современные средства САУ,250,0,"2023-10-9, 00:00","2024-8-31, 00:00","<h4><strong>Уважаемые слушатели, о начале программы будет объявлено дополнительно.</strong></h4><p>&nbsp;</p><h3>Современные средства систем автоматизированного управления</h3><p>Программа посвящена различным аспектам разработки систем управления на базе ПЛК – программируемых логических контроллеров. Областью применения таких систем являются промышленные объекты, однако они используются и в других областях – транспорт и его инфраструктура, объекты энергетического сектора, сервисное и научное оборудование.&nbsp;</p><p>Программа рассчитана на два семестра нагрузки параллельно с освоением основной образовательной программы.</p><p>Обучение проходит в смешанном формате –&nbsp;онлайн + очно в лаборатории.</p><p>Обучение проходит на базе учебного центра компании ПРОСОФТ (учебно-научная лаборатория «Промышленные системы управления и&nbsp;автоматизации»&nbsp;кафедры Систем автоматического управления) на контроллере модульной линейки FASTWEL I/O CPM 723-01 в среде разработки CODESYS V3.</p><h3>Для кого подойдет этот курс</h3><p>Если Вы освоили первый курс бакалавриата или два курса специалитета по&nbsp;<strong>ИТ-направлениям</strong>, а также хотите освоить арсенал инструментов и навыков в сфере разработки систем автоматизированного управления, то эта программа как раз для Вас!</p><p>Подать заявку на обучение могут студенты очной (очно-заочной) формы обучения СПбГЭТУ «ЛЭТИ», граждане РФ, РБ и РК.</p><h4>&nbsp;</h4><h4>Что Вы получите</h4><ul><li>Узнаете возможности и особенности применения ПЛК в системах автоматизации.</li><li>Научитесь осуществлять конфигурирование и настройку ПЛК для проекта автоматизации.</li><li>Научитесь настраивать связь ПЛК по сетевым протоколам с системами верхнего уровня (HMI).</li><li>Овладеете языками программирования ПЛК стандарта МЭК 61131-3.</li><li>Овладеете средой программирования ПЛК CoDeSys&nbsp;V3.5 и SCADA-системой</li><li>Разработайте свою собственную систему автоматизированного управления поддержанием температуры на учебном стенде.</li></ul><p>&nbsp;</p><h4>Какую профессию вы освоите?</h4><p>Программист, специалист в области проектирования автоматизированных систем управления технологическими процессами / Инженер-программист АСУ ТП / Инженер-программист ПЛК (PLC).</p><h3>&nbsp;</h3><h3>Программа курса</h3><p>Каждый модуль представляет собой полноценный онлайн-курс с комплектом образовательного контента и практики. Для оценки уровня освоения полученных компетенций слушатели решают практические кейсы и выполняют проекты.</p><p><strong>Введение</strong></p><p>Даются общие понятия, определяются уровни в рамках глобальной автоматизации, к которым применимы изучаемые подходы и средства. Рассматривается классификация объектов автоматизации и структура информационного обмена.</p><p><strong>Основные принципы построения и компоненты систем автоматики</strong></p><p>Рассматриваются базовые аппаратные компоненты, лежащие в основе любых промышленных систем - датчики, исполнительные устройства, различное вспомогательное оборудование, а также промышленные сети и протоколы обмена данными.</p><p><strong>ПЛК в задачах автоматизации</strong></p><p>Модуль посвящен рассмотрению компонентов ПЛК, их возможностям и&nbsp;применимости для решения различных задач. Рассматриваются вопросы конфигурирования и программирования систем ПЛК, структура памяти, данных и программ, возможности сетевых коммуникаций. В рамках данного модуля выполняются практические задания на ПЛК.</p><p><strong>Диспетчеризация технологических процессов</strong></p><p>Рассматривается разработка системы диспетчерского контроля и управления: человеко-машинный интерфейс, алармы, тренды, ОРС-сервер и организация связи ПЛК с верхним уровнем автоматизации. В данном модуле выполняются практические задания в SCADA системе.</p><p><strong>Реализация проекта автоматизации</strong></p><p>Осуществляется выполнение итогового проекта, для реализации чего потребуются знания, полученные в первых трех модулях. Проект представляет собой решение поставленной задачи автоматизации процесса или объекта и содержит этапы проектирования аппаратной и программной части, а также документирование полученного результата.</p><p>&nbsp;</p><h4>Что входит в обучение</h4><ul><li>Видеоуроки</li></ul><p>Каждая тема подробно объясняется на конкретных примерах</p><ul><li>Воркбук</li></ul><p>Конспекты для лучшего усвоения материала</p><ul><li>Практика</li></ul><p>На ведущих high-tech предприятиях</p><ul><li>Поддержка тьютора</li></ul><p>На протяжении всего обучения Вы можете получать консультации по техническим вопросам</p><ul><li>Диплом</li></ul><p>После успешного прохождения курса выдаем диплом о профессиональной переподготовке</p><ul><li>Вебинары</li></ul><p>Все нюансы курса можно уточнить в беседе с его автором</p><p>&nbsp;</p><p>&nbsp;</p><h3>Преподаватели программы</h3><p><strong>Филатова Екатерина Сергеевна</strong></p><p>Руководитель программы «Современные средства систем автоматизированного управления»</p><p><strong>Филатов Денис Михайлович</strong></p><p>Доцент кафедры САУ СПбГЭТУ «ЛЭТИ», преподаватель учебного центра компании ПРОСОФТ</p><p><strong>Гречухин Михаил Николаевич</strong></p><p>Ассистент кафедры ВТ СПбГЭТУ «ЛЭТИ», программист 1С-Битрикс</p><p><strong>А также специалисты в области проектирования и разработки программных систем для автоматизированных производств.</strong></p><p>&nbsp;</p>",Цифровая кафедра
